case_id,category,utterance,ground_truth,llm_response,llm_tool_call,llm_latency_ms,baseline_response,llm_correct,baseline_correct
cmd_011,command,"EW needs 6 more seconds, can you do that?","{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms_min"": 5000, ""duration_ms_max"": 7000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. EW green extended by 6 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms"": 6000}}",3437.5,null,True,False
cmd_012,command,Add 8 seconds to the EW green please.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms_min"": 7000, ""duration_ms_max"": 9000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. Extended EW green by 8 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms"": 8000}}",4091.2,"{""name"": ""traffic_override"", ""input"": {""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms"": 8000}}",True,True
cmd_013,command,Extend the eastbound green for five seconds.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms_min"": 4000, ""duration_ms_max"": 6000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. Eastbound (EW) green extended by 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms"": 5000}}",3542.6,"{""name"": ""traffic_override"", ""input"": {""action"": ""extend_green"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_014,command,Force WE green now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",WE is now forced green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",3260.8,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_015,command,Switch to west-east immediately.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. WE (West-East) is now forced green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",3566.0,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_016,command,Give WE the green right now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. WE is now green for 10 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 10000}}",3796.9,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_017,command,"Immediately switch to WE, it's backed up.","{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",WE is now green for 5 seconds. Adjust duration if you need it longer.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",4310.1,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_018,command,Make west-east go green right now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",WE is now forced green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE""}}",3599.9,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""WE"", ""duration_ms"": 5000}}",False,True
cmd_019,command,Force EW green.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW forced to green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",3453.0,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_020,command,Switch to east-west now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. EW (East-West) forced green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",4025.0,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_021,command,Give EW green immediately.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW forced to green for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",3566.7,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_022,command,Swith EW to green now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW switched to green (5 seconds). Adaptive timing will resume after the override expires.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",3883.5,null,True,False
cmd_023,command,Switch the lights so EW is green right now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. EW is now green for 10 seconds. Override active.,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 10000}}",3788.6,"{""name"": ""traffic_override"", ""input"": {""action"": ""force_phase"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_024,command,Give WE priority.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Priority set for WE for 10 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 10000}}",3321.3,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_025,command,Prioritize the west-east direction.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Priority set for WE direction for 10 seconds. The signal will hold green for west-east traffic.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 10000}}",3465.7,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_026,command,Set WE as priority for 15 seconds.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms_min"": 13000, ""duration_ms_max"": 17000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. WE is now priority green for 15 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 15000}}",3329.9,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 15000}}",True,True
cmd_027,command,"Hold WE green, it's congested.","{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",WE green is now held for priority. The light will stay green for the West-East direction to clear the congestion.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 10000}}",3504.4,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 5000}}",True,True
cmd_028,command,Give priority to the busier direction.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Priority set for WE (5 cars waiting vs. 2 in EW). Green will hold for 10 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""WE"", ""duration_ms"": 10000}}",9856.6,null,True,False
cmd_029,command,Give EW priority.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW priority set for 10 seconds. The system will hold green for EW.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 10000}}",3018.6,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_030,command,Prioritize east-west direction.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW prioritized for 10 seconds. The signal will hold green for the EW direction.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 10000}}",2953.5,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 5000}}",True,True
cmd_031,command,Set EW as priority.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",EW set to priority. Green will hold for 5 seconds.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW""}}",2770.1,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 5000}}",False,True
cmd_032,command,Prioritize whichever lane is more congested right now.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms_min"": 1000, ""duration_ms_max"": 20000, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Priority set for EW (10 seconds). EW green is now locked longer to clear the 6-car queue.,"{""name"": ""traffic_override"", ""input"": {""action"": ""set_priority"", ""direction"": ""EW"", ""duration_ms"": 10000}}",3685.0,null,True,False
cmd_033,command,Reset to normal.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""reset"", ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. Adaptive timing resumed.,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",3614.7,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",True,True
cmd_034,command,Clear the override.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""reset"", ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Override cleared. System resumed adaptive timing.,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",2633.3,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",True,True
cmd_035,command,Go back to adaptive timing.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""reset"", ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. Adaptive timing resumed.,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",2543.1,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",True,True
cmd_036,command,Resume normal operation.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""reset"", ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Done. The intersection is now running on adaptive timing based on queue length.,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",2855.0,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",True,True
cmd_037,command,Cancel the current override.,"{""expects_tool_call"": true, ""tool_name"": ""traffic_override"", ""action"": ""reset"", ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Override cleared. The system is now back to adaptive timing.,"{""name"": ""traffic_override"", ""input"": {""action"": ""reset""}}",3298.7,null,True,False
cmd_038,command,"Ambulance approaching from WE, hold green for 20 seconds.","{""expects_tool_call"": true, ""tool_name"": ""emergency_priority"", ""action"": null, ""direction"": ""WE"", ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": 17, ""eta_seconds_max"": 23}",**Emergency priority activated for WE (West-East) – green held for 20 seconds.** Adaptive timing is locked out. All traffic in EW direction will stay red.,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""WE"", ""eta_seconds"": 20}}",3291.5,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""WE"", ""eta_seconds"": 20}}",True,True
cmd_039,command,"Fire truck on EW, clear the path for 15 seconds.","{""expects_tool_call"": true, ""tool_name"": ""emergency_priority"", ""action"": null, ""direction"": ""EW"", ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": 12, ""eta_seconds_max"": 18}",Emergency priority activated for EW. Green held for 15 seconds.,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""EW"", ""eta_seconds"": 15}}",4236.3,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""EW"", ""eta_seconds"": 15}}",True,True
cmd_040,command,"Emergency vehicle approaching from west-east, pre-empt for 25 seconds.","{""expects_tool_call"": true, ""tool_name"": ""emergency_priority"", ""action"": null, ""direction"": ""WE"", ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": 22, ""eta_seconds_max"": 30}",**Emergency priority activated for WE (West-East).** Green held for 25 seconds. Adaptive timing is locked out until the timer expires.,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""WE"", ""eta_seconds"": 25}}",3020.1,"{""name"": ""emergency_priority"", ""input"": {""direction"": ""WE"", ""eta_seconds"": 20}}",True,False
amb_001,ambiguous,Can you fix the traffic?,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","That's a bit broad—what would help most right now?

- **Extend EW green?** (currently has 6 cars vs WE's 1)
- **Switch to WE early?** (give the single car a chance to go)
- **Something else?**

Let me know and I'll adjust the lights.",null,2651.9,null,True,True
amb_002,ambiguous,Make it better.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","That's ambiguous! What would help most right now?

- **Extend the current green** (EW has 6 cars waiting)?
- **Switch to WE** (only 1 car, but might be stuck)?
- **Something else?**

Let me know and I'll adjust the lights.",null,2449.5,null,True,True
amb_003,ambiguous,The lights seem off.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","Can you be more specific? Are you saying:
- The lights aren't changing at all (stuck)?
- A particular direction's light is wrong?
- Traffic is backing up unexpectedly?

Right now: WE is RED (1 car), EW is GREEN (6 cars). What should I fix?",null,2474.6,null,True,True
amb_004,ambiguous,Extend the green.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",Which direction should I extend—WE or EW? EW currently has the green light.,null,2924.8,null,True,True
amb_005,ambiguous,Give it more time.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","I need clarification: which direction should I give more time to—**WE** (currently RED, 1 car waiting) or **EW** (currently GREEN, 6 cars waiting)?",null,1972.2,null,True,True
amb_006,ambiguous,Switch the light.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","I need a bit more detail. Do you want me to:

1. **Force the next phase** (switch EW to red and WE to green immediately)?
2. **Extend the current green** (keep EW green longer)?
3. **Give priority to WE** (hold WE green once it turns)?

Which would you like?",null,2696.4,null,True,True
amb_007,ambiguous,Priority.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","I need clarification: which direction should get priority — **WE** or **EW**?

(Currently EW is green with 6 cars; WE is red with 1 car.)",null,2360.3,null,True,True
amb_008,ambiguous,Do something about the wait time.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","The EW direction is currently busier (6 cars queued vs. 1 in WE) and already has the green light. WE has been waiting longer and only has 1 car, so the wait is manageable.

**Which would help most?**
1. Extend EW's current green a bit longer to clear that 6-car queue faster?
2. Give WE an early green despite having fewer cars?

Let me know and I'll adjust the timing.",null,3180.7,null,True,True
amb_009,ambiguous,Adjust the timing.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","I need clarification: which direction would you like me to adjust, and what adjustment do you want?

For example:
- Extend the current green (EW is green now with 6 cars waiting)
- Give priority to WE (currently red with 1 car)
- Or something else?",null,2380.5,null,True,True
amb_010,ambiguous,The intersection needs attention.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","What specific issue are you seeing? For example:
- Is one direction backed up?
- Is a vehicle stuck or emergency approaching?
- Are the lights not cycling properly?

A quick detail will help me assist you faster.",null,2282.4,null,True,True
amb_011,ambiguous,Increase the green duration.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","Which direction should I extend: **WE** (currently RED, queue=1) or **EW** (currently GREEN, queue=6)?",null,1872.6,null,True,True
amb_012,ambiguous,Hold it longer.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}",I need a bit more detail. Which direction should I hold longer—**WE** or **EW**? And how much longer (in seconds)?,null,2135.3,null,True,True
amb_013,ambiguous,Override something.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","That's too vague. What would you like me to do?

**Pick one:**
- Extend the current green for WE or EW?
- Force a phase change to a specific direction?
- Set priority for a direction?
- Reset any active overrides?",null,2305.7,null,True,True
amb_014,ambiguous,Change the signals.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","That's too broad. What would you like me to do?

- **Force EW green** (switch to that phase now)?
- **Force WE green** (switch to that phase now)?
- **Extend the current green** (EW) by how many seconds?
- **Give priority to WE** (hold green longer)?
- **Reset** to adaptive timing?",null,2631.8,null,True,True
amb_015,ambiguous,Make the green light longer.,"{""expects_tool_call"": false, ""tool_name"": null, ""action"": null, ""direction"": null, ""duration_ms_min"": null, ""duration_ms_max"": null, ""eta_seconds_min"": null, ""eta_seconds_max"": null}","Which direction should I extend—**WE** (West-East, currently RED with 1 car) or **EW** (East-West, currently GREEN with 6 cars)? Or extend the current green (EW)?",null,2426.5,null,True,True
